index,added,removed
1997-06-17,CCI,USL
1998-12-11,CPWRCCLFSR,SUNGRELDW
1999-06-09,WLP,HFI
1999-12-07,YHOO,LDW
2000-06-07,SBUX,SMS
2000-06-12,CVG,TMC
2000-07-27,JDSU,RAD
2000-12-05,ABKAYESBLINTU,CCKGRAOIBS
2003-09-25,ESRX,QTRN
2005-07-01,STZ,GLK
2005-11-18,AMZN,T
2006-06-02,JNPR,ABS
2007-01-10,AVB,SBL
2007-03-30,KFT,TSG
2007-07-02,DFS,
2007-08-24,LUK,KSE
2007-09-26,ICE,FDC
2007-09-27,TSO,MXIM
2007-10-01,TDC,NCR
2007-10-02,EXPE,SLR
2007-10-26,JEC,AV
2007-12-13,GME,DJ
2007-12-20,RRC,TRB
2008-06-10,LO,ABK
2008-06-23,MEECOG,OMXBC
2008-07-01,AKS,CFC
2008-09-12,FASTCRM,FNMFRE
2008-09-16,HRS,LEH
2008-12-31,OI,WB
2009-03-03,VTRHRL,JNYACAS
2009-06-05,FTI,COV
2009-08-19,FMC,CTX
2009-09-28,ARG,CBE
2009-11-03,PCLN,SGP
2009-12-18,ROSTSAICLFMJNV,MBICVGKBHDYNCIEN
2010-02-26,HP,RX
2010-04-29,CERN,BJS
2010-06-28,KMX,XTO
2010-06-30,QEP,STR
2010-07-14,CB,MIL
2010-08-26,TYC,SII
2010-11-17,IR,PTV
2010-12-17,NFXNFLXFFIVCVC,NYTODPEKKG
2011-02-25,JOY,AYE
2011-02-28,COV,MFE
2011-03-31,EW,Q
2011-04-01,BLK,GENZ
2011-04-27,CMG,NOVL
2011-06-01,ANR,MEE
2011-06-30,MPC,RSH
2011-07-05,ACN,MI
2011-09-23,MOS,NSM
2011-10-14,TEL,CEPH
2011-10-31,XYL,ITT
2011-11-18,CBE,JNS
2011-12-12,GAS,GAS
2011-12-16,DLTRPRGOBWA,WFRMWWAKS
2011-12-20,TRIP,TLAB
2011-12-31,WPX,CPWR
2012-03-13,CCI,CEG
2012-04-03,FOSL,MHS
2012-04-23,PSX,SVU
2012-05-17,KMI,EP
2012-05-21,ALXN,MMI
2012-06-05,LRCX,NVLS
2012-06-29,MNST,SLE
2012-07-02,STX,PGN
2012-07-31,ESV,GR
2012-09-05,LYB,SHLD
2012-10-01,PNRADT,DVLXK
2012-10-02,KRFT,ANR
2012-10-10,PETM,SUN
2012-12-03,DG,CBE
2012-12-11,GRMN,RRD
2012-12-21,DLPH,TIE
2012-12-31,ABBV,FII
2013-02-15,PVH,BIG
2013-04-30,REGN,PCS
2013-05-08,MAC,CVH
2013-05-23,KSU,DF
2013-06-06,GM,HNZ
2013-06-21,ZTS,FHN
2013-06-28,FOXA,APOL
2013-07-08,NLSN,S
2013-09-10,DAL,BMC
2013-09-20,AMEVRTX,SAIAMD
2013-10-29,RIG,DELL
2013-11-13,KORS,NYX
2013-12-02,ALLE,JCP
2013-12-10,GGP,MOLX
2013-12-23,FBMHKADS,TERJDSUANF
2014-01-24,TSCO,LIFE
2014-03-21,GMCR,WPX
2014-04-02,ESS,CLF
2014-04-03,GOOGL,
2014-05-01,NAVIUAA,SLMBEAM
2014-05-08,AVGO,LSI
2014-06-20,XEC,IGT
2014-07-01,AMG,FRX
2014-07-02,MLM,X
2014-08-06,DISCK,
2014-08-18,MNK,RDC
2014-09-20,UHSURI,GHCBTU
2014-11-05,LVLT,JBL
2014-12-05,RCL,BMS
2015-01-27,ENDPHCA,COVSWY
2015-03-12,SWKS,PETM
2015-03-18,HSIC,CFN
2015-03-23,HBISLGEQIXAAL,AVPNBRDNRAGN
2015-04-07,O,WIN
2015-06-11,QRVO,LO
2015-07-01,BXLTJBHT,QEPTEG
2015-07-02,CPGX,ATI
2015-07-06,KHC,KRFT
2015-07-08,AAP,FDO
2015-07-20,PYPL,NE
2015-07-29,SIG,DTV
2015-08-28,ATVI,PLL
2015-09-02,UAL,HSP
2015-09-18,NWSFOXCMCSK,
2015-10-07,VRSK,JOY
2015-11-02,HPE,HCBK
2015-11-18,SYF,GNW
2015-11-19,ILMN,SIAL
2015-12-01,CSRA,CSC
2015-12-15,,CMCSK
2015-12-29,CHD,ALTR
2016-01-05,WLTW,FOSL
2016-01-19,EXR,ACE
2016-02-01,FRTCFG,BRCMPCP
2016-02-22,CXO,PCL
2016-03-04,AWK,CNX
2016-03-07,UDR,GMCR
2016-03-30,CNCHOLX,ESVPOM
2016-04-04,FL,CAM
2016-04-08,UA,
2016-04-18,ULTA,THC
2016-04-25,GPN,GME
2016-05-03,AYI,ADT
2016-05-13,ALK,SNDK
2016-05-18,DLR,TWC
2016-05-23,LKQ,ARG
2016-05-31,AJG,CCE
2016-06-03,TDG,BXLT
2016-06-22,FBHS,CVC
2016-07-01,ALBLNT,TEGAS
2016-07-05,FTV,CPGX
2016-09-06,MTD,TYC
2016-09-08,CHTR,EMC
2016-09-22,COO,HOT
2016-09-30,COTY,DO
2016-11-01,ARNC,AA
2016-12-02,EVHCMAA,LMOI
2017-01-05,IDXX,STJ
2017-02-28,INCY,SE
2017-03-01,CBOE,PBI
2017-03-02,REG,ENDP
2017-03-13,DISH,LLTC
2017-03-16,SNPS,HAR
2017-03-20,ARERJFAMD,FSLRFTRURBN
2017-04-04,DXC,SWN
2017-04-05,IT,DNB
2017-06-02,INFO,TGNA
2017-06-19,REANSSALGNHLT,MJNRTDCYHOO
2017-07-26,MGMRMDPKGAOSDRE,RAIMNKMURBBBYRIG
2017-08-08,BHF,AN
2017-08-29,Q,WFM
2017-09-01,SBACDWDP,DDDOW
2017-09-18,CDNS,SPLS
2017-10-13,NCLH,LVLT
2018-01-03,HII,BCR
2018-03-07,IPGP,SNI
2018-03-19,NKTRSIVBTTWO,CHKPDCOSIG
2018-04-04,MSCI,CSRA
2018-05-31,ABMD,WYN
2018-06-05,EVRG,NAVI
2018-06-07,TWTR,MON
2018-06-18,HFCBR,AYIRRC
2018-06-20,FLT,TWX
2018-07-02,CPRT,DPS
2018-08-28,ANET,GGP
2018-09-14,WCG,XL
2018-10-01,ROL,ANDV
2018-10-11,FTNT,EVHC
2018-11-06,KEYS,CA
2018-11-13,JKHY,EQT
2018-12-03,FANGMXIMLW,SRCLAETCOL
2018-12-24,CE,ESRX
2019-01-02,FRC,SCG
2019-01-18,TFX,PCG
2019-02-15,ATO,NFX
2019-02-27,WAB,GT
2019-04-02,DOW,BHF
2019-06-03,CTVADD,FLRDWDP
2019-06-07,AMCR,MAT
2019-07-01,MKTX,LLL
2019-07-15,TMUS,RHT
2019-08-09,IEXLDOS,FLAPC
2019-09-23,CDW,TSS
2019-09-26,NVR,JEF
2019-10-03,LVS,NKTR
2019-11-21,NOW,CELG
2019-12-05,WRB,VIAB
2019-12-09,ODFL,STI
2019-12-23,STEZBRALYV,MACTRIPAMG
2020-01-28,PAYC,WCG
2020-03-02,IR,XEC
2020-04-01,HWM,ARNC
2020-04-03,CARROTIS,
2020-04-06,,RTNM
2020-05-12,DXCMDPZ,AGNCPRI
2020-05-22,WST,HP
2020-06-22,TYLTDYBIO,JWNHOGADS
2020-09-21,CTLTTERETSY,KSSCOTYHRB
2020-10-07,POOL,ETFC
2020-10-09,VNT,
2020-10-12,,NBL
2020-12-21,TSLA,AIV
2021-01-07,ENPH,TIF
2021-01-21,TRMB,CXO
2021-02-12,MPWR,FTI
2021-03-22,CZRGNRCPENNNXPI,VNTXRXSLGFLS
2021-04-20,PTC,VAR
2021-05-14,CRL,FLIR
2021-06-03,OGN,
2021-06-04,,HFC
2021-07-21,MRNA,ALXN
2021-08-30,TECH,MXIM
2021-09-20,BROCDAYMTCH,NOVUNMPRGO
2021-12-14,EPAM,KSU
2021-12-20,FDSSEDGSBNY,WUHBILEG
2022-02-02,CEG,
2022-02-03,,GPS
2022-02-15,NDSN,XLNX
2022-03-02,MOH,INFO
2022-04-04,CPT,PBCT
2022-06-08,VICI,CERN
2022-06-21,ONKDP,IPGPUA/UAA
2022-09-19,INVHCSGP,PENNPVH
2022-10-03,EQTPCG,DRECTXS
2022-10-12,TRGP,NLSN
2022-11-01,ACGL,TWTR
2022-12-15,MBC,
2022-12-19,FSLR,MBCFBHS
2022-12-22,STLD,ABMD
2023-01-04,GEHC,
2023-01-05,,VNO
